date;Filière de production;Plage de puissance injection;Total
2018-01-05;F0 : Total toutes filières;P6 : ]1000 - 12000] kW;155206589123
2018-01-05;F0 : Total toutes filières;P7 : > 12000 kW;17007711154
2018-01-05;F1 : Thermique non renouvelable;P0 : Total toutes puissances;38942321923
2018-01-05;F1 : Thermique non renouvelable;P1 : ]0 - 3] kW;0
2018-01-05;F1 : Thermique non renouvelable;P2 : ]3 - 9] kW;0
2018-01-05;F1 : Thermique non renouvelable;P3 : ]9 - 100] kW;0
2018-01-05;F1 : Thermique non renouvelable;P4 : ]100 - 250] kW;28505150
2018-01-05;F1 : Thermique non renouvelable;P5 : ]250 - 1000] kW;768436311
2018-01-05;F1 : Thermique non renouvelable;P6 : ]1000 - 12000] kW;37976980480
2018-01-05;F1 : Thermique non renouvelable;P7 : > 12000 kW;0
2018-01-05;F2 : Bioénergies;P0 : Total toutes puissances;14930804510
2018-01-05;F2 : Bioénergies;P1 : ]0 - 3] kW;0
2018-01-05;F2 : Bioénergies;P2 : ]3 - 9] kW;0
2018-01-05;F2 : Bioénergies;P3 : ]9 - 100] kW;65612292
2018-01-05;F2 : Bioénergies;P4 : ]100 - 250] kW;798783646
2018-01-05;F2 : Bioénergies;P5 : ]250 - 1000] kW;1184888315
2018-01-05;F2 : Bioénergies;P6 : ]1000 - 12000] kW;10684046646
2018-01-05;F2 : Bioénergies;P7 : > 12000 kW;0
2018-01-05;F3 : Hydraulique;P0 : Total toutes puissances;13719710284
2018-01-05;F3 : Hydraulique;P1 : ]0 - 3] kW;983406086
2018-01-05;F3 : Hydraulique;P2 : ]3 - 9] kW;775324
2018-01-05;F3 : Hydraulique;P3 : ]9 - 100] kW;180996802
2018-01-05;F3 : Hydraulique;P4 : ]100 - 250] kW;804841490
2018-01-05;F3 : Hydraulique;P5 : ]250 - 1000] kW;3536867544
2018-01-05;F3 : Hydraulique;P6 : ]1000 - 12000] kW;7089462125
2018-01-05;F3 : Hydraulique;P7 : > 12000 kW;1122738152
2018-01-05;F4 : Eolien;P0 : Total toutes puissances;108870652029
2018-01-05;F4 : Eolien;P1 : ]0 - 3] kW;19500434
2018-01-05;F4 : Eolien;P2 : ]3 - 9] kW;188496
2018-01-05;F4 : Eolien;P3 : ]9 - 100] kW;388176
2018-01-05;F4 : Eolien;P4 : ]100 - 250] kW;0
2018-01-05;F4 : Eolien;P5 : ]250 - 1000] kW;0
2018-01-05;F4 : Eolien;P6 : ]1000 - 12000] kW;95016277810
2018-01-05;F4 : Eolien;P7 : > 12000 kW;13800895310
2018-01-05;F5 : Solaire;P0 : Total toutes puissances;7785437582
2018-01-05;F5 : Solaire;P1 : ]0 - 3] kW;648916846
2018-01-05;F5 : Solaire;P2 : ]3 - 9] kW;386308265
2018-01-05;F5 : Solaire;P3 : ]9 - 100] kW;1325232546
2018-01-05;F5 : Solaire;P4 : ]100 - 250] kW;896781823
2018-01-05;F5 : Solaire;P5 : ]250 - 1000] kW;0
2018-01-05;F5 : Solaire;P6 : ]1000 - 12000] kW;4111025818
2018-01-05;F5 : Solaire;P7 : > 12000 kW;0
2018-01-05;F6 : Autres;P0 : Total toutes puissances;330816114
2018-01-05;F6 : Autres;P1 : ]0 - 3] kW;0
2018-01-05;F6 : Autres;P2 : ]3 - 9] kW;0
2018-01-05;F6 : Autres;P3 : ]9 - 100] kW;0
2018-01-05;F6 : Autres;P4 : ]100 - 250] kW;0
2018-01-05;F6 : Autres;P5 : ]250 - 1000] kW;0
2018-01-05;F6 : Autres;P6 : ]1000 - 12000] kW;328765982
2018-01-05;F6 : Autres;P7 : > 12000 kW;0
2018-01-06;F0 : Total toutes filières;P0 : Total toutes puissances;117276112862
2018-01-06;F0 : Total toutes filières;P1 : ]0 - 3] kW;2007991001
2018-01-06;F0 : Total toutes filières;P2 : ]3 - 9] kW;316511613
2018-01-06;F0 : Total toutes filières;P3 : ]9 - 100] kW;1332029293
2018-01-06;F0 : Total toutes filières;P4 : ]100 - 250] kW;2414463532
2018-01-06;F0 : Total toutes filières;P5 : ]250 - 1000] kW;5970915211
2018-01-06;F0 : Total toutes filières;P6 : ]1000 - 12000] kW;97767637797
2018-01-06;F0 : Total toutes filières;P7 : > 12000 kW;7466564273
2018-01-06;F1 : Thermique non renouvelable;P0 : Total toutes puissances;39598368785
2018-01-06;F1 : Thermique non renouvelable;P1 : ]0 - 3] kW;0
2018-01-06;F1 : Thermique non renouvelable;P2 : ]3 - 9] kW;0
2018-01-06;F1 : Thermique non renouvelable;P3 : ]9 - 100] kW;0
2018-01-06;F1 : Thermique non renouvelable;P4 : ]100 - 250] kW;28543482
2018-01-06;F1 : Thermique non renouvelable;P5 : ]250 - 1000] kW;767059479
2018-01-06;F1 : Thermique non renouvelable;P6 : ]1000 - 12000] kW;38634402480
2018-01-06;F1 : Thermique non renouvelable;P7 : > 12000 kW;0
2018-01-06;F2 : Bioénergies;P0 : Total toutes puissances;15444059011
2018-01-06;F2 : Bioénergies;P1 : ]0 - 3] kW;0
2018-01-06;F2 : Bioénergies;P2 : ]3 - 9] kW;0
2018-01-06;F2 : Bioénergies;P3 : ]9 - 100] kW;66497844
2018-01-06;F2 : Bioénergies;P4 : ]100 - 250] kW;807695982
2018-01-06;F2 : Bioénergies;P5 : ]250 - 1000] kW;1165255311
2018-01-06;F2 : Bioénergies;P6 : ]1000 - 12000] kW;11172672817
